code,type,subtype,manufacturer,model,description,value,package,info,image_url
WASHES01,fasteners,washer assortment,,,box with assorted pressure washers of different sizes;1 box;;includes washers of 6;8;10;12 mm,,,,https://tse1.mm.bing.net/th/id/OIP.Q3vEqTbv1ojQN2ncNJgYmQAAAA?rs=1&pid=ImgDetMain&o=7&rm=3
NE555MOD,modules,timer IC module,,NE555,NE555 timer IC on DIP8 adapter module;1 piece;;classic timer/oscillator IC mounted on DIP8 adapter for prototyping,,,,https://th.bing.com/th/id/OIP.vOz05BnRGRovcbG8jQGp8AHaHa?w=211&h=210&c=7&r=0&o=7&pid=1.7&rm=3
IRF520MD,modules,MOSFET driver module,,IRF520,IRF520 MOSFET module on board;1 piece;;used for controlling high‑power loads with microcontrollers,,,,https://th.bing.com/th/id/OIP.elp8_xw9Av2vgAQcjGwW_wHaHa?w=170&h=180&c=7&r=0&o=7&pid=1.7&rm=3
